序号,岗位名称,是否AI岗位,学历,工作经验,城市,城市等级,公司规模,月薪,岗位职责
204,新媒体运营专员,否,本科,3-5年,广州,一线城市,2000人以上,10100,协助策划线上活动，提升粉丝活跃度和粘性；撰写新媒体文案，策划选题并执行内容发布；回复用户评论和私信，维护品牌形象
205,AI数据分析运营,是,大专,1-3年,上海,一线城市,500-2000人,9400,开发AI驱动的自动化数据看板和预警系统；利用AI进行竞品数据采集和分析，输出竞争情报；为运营团队提供AI数据洞察，驱动精细化运营决策；通过机器学习预测粉丝增长趋势和内容爆款概率；搭建基于AI的用户行为分析和预测模型
206,AI内容策划,是,本科,1-3年,上海,一线城市,150-500人,9300,利用AIGC工具批量生产图文、视频等多模态内容；对比不同AI模型的内容产出效果，持续优化选题和prompt；结合AI数据分析用户内容偏好，制定内容策略方向；运用大语言模型辅助选题生成、内容大纲和初稿撰写；建立AI内容质量评估标准，把控机器生成内容质量
207,短视频运营,否,本科,1-3年,北京,一线城市,15-50人,8200,跟进拍摄和后期剪辑，把控成片质量；策划短视频内容选题，撰写分镜脚本；负责抖音、快手、视频号等短视频平台的账号运营
208,用户运营,否,博士,10年以上,厦门,二线城市,2000人以上,19700,建立用户反馈闭环机制，推动产品优化；通过用户调研和数据分析洞察用户需求；策划用户激励活动（签到/积分/会员权益）
209,短视频运营,否,博士,3-5年,合肥,二线城市,2000人以上,11000,分析短视频数据（完播率、点赞、涨粉）优化内容；策划短视频内容选题，撰写分镜脚本；对接达人/KOL资源，策划合作推广内容
210,社群运营,否,大专,1-3年,杭州,一线城市,500-2000人,6300,制定社群SOP（群规/入群欢迎语/日常互动流程）；处理群内投诉和负面情绪，维护社群氛围；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；培养社群KOC，激励用户自发裂变拉新；搭建并管理微信社群/企业微信群（拉新→活跃→转化）
211,新媒体运营专员,否,本科,1年以下,西安,新一线城市,50-150人,3500,撰写新媒体文案，策划选题并执行内容发布；监测运营数据（阅读量、粉丝增长、互动率），输出周报；负责微信公众号、微博等平台的日常内容更新与维护；回复用户评论和私信，维护品牌形象；跟踪热点话题，快速产出相关内容提升曝光
212,AIGC内容运营,是,博士,5-10年,济南,二线城市,2000人以上,17600,探索AI在内容创意、视觉设计、音视频制作中的落地应用；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；建立AIGC素材版权管理机制，确保合规使用；制定AIGC内容生产SOP和质量审核流程
213,内容运营,否,本科,1-3年,绵阳,三线城市,2000人以上,3400,优化内容标题、封面、关键词，提升SEO/推荐效果；分析内容数据（阅读量、完读率、转发率）持续迭代；挖掘用户内容偏好，产出针对性内容策略；策划并撰写高质量原创内容（图文/视频脚本/专题）；管理内容日历，确保各渠道内容按时发布
214,新媒体运营总监,否,本科,1-3年,广州,一线城市,50-150人,6500,搭建并管理新媒体运营团队（10-50人）；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；建立数据驱动的运营体系，对核心KPI负责
215,新媒体运营经理,否,本科,1年以下,合肥,二线城市,150-500人,4500,分析运营数据，优化内容方向和投放策略；统筹跨部门协作，推动品牌传播项目落地；管理运营预算，控制投入产出比(ROI)
216,智能营销运营,是,博士,5-10年,北京,一线城市,500-2000人,47700,搭建基于机器学习的用户生命周期价值(LTV)预测模型；设计AI驱动的个性化推荐和营销自动化流程；利用AI进行营销人群定向和智能投放策略优化；运用AI进行A/B测试分析和营销素材智能优化
217,短视频运营,否,本科,1年以下,苏州,新一线城市,2000人以上,6100,负责抖音、快手、视频号等短视频平台的账号运营；跟进拍摄和后期剪辑，把控成片质量；策划短视频内容选题，撰写分镜脚本；对接达人/KOL资源，策划合作推广内容
218,大模型提示词运营,是,硕士,1-3年,襄阳,三线城市,50-150人,6000,建立Prompt版本管理和A/B测试机制，持续迭代最优方案；编写Prompt工程规范文档，培训团队成员使用AI工具；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；针对不同业务场景设计并优化大模型提示词策略；搭建和维护企业的提示词（Prompt）模板库
219,活动运营,否,本科,1年以下,福州,二线城市,2000人以上,3700,制定活动方案（目标/预算/流程/风险预案）；协调设计、产品、技术等资源推动活动上线；活动结束后输出复盘报告，沉淀方法论；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；研究行业优秀活动案例，建立活动创意库
220,社群运营,否,硕士,5-10年,襄阳,三线城市,2000人以上,6100,搭建并管理微信社群/企业微信群（拉新→活跃→转化）；分析社群数据（入群率、活跃度、转化率、流失率）；培养社群KOC，激励用户自发裂变拉新；处理群内投诉和负面情绪，维护社群氛围；制定社群SOP（群规/入群欢迎语/日常互动流程）
221,活动运营,否,本科,1-3年,上海,一线城市,150-500人,8600,研究行业优秀活动案例，建立活动创意库；制定活动方案（目标/预算/流程/风险预案）；活动结束后输出复盘报告，沉淀方法论；监控活动实时数据，动态调整策略以提升效果；协调设计、产品、技术等资源推动活动上线
222,直播运营,否,硕士,1年以下,深圳,一线城市,2000人以上,12300,策划直播主题和脚本，协调主播和商品资源；分析竞品直播间打法，迭代直播话术和节奏；监控直播数据（在线人数/互动率/GMV）实时调整策略；管理直播投流（千川/聚星），优化ROI
223,直播运营,否,本科,5-10年,上海,一线城市,2000人以上,12700,管理直播投流（千川/聚星），优化ROI；分析竞品直播间打法，迭代直播话术和节奏；维护粉丝群，提升复购率和用户粘性；监控直播数据（在线人数/互动率/GMV）实时调整策略
224,社群运营,否,本科,3-5年,赣州,三线城市,150-500人,2500,制定社群SOP（群规/入群欢迎语/日常互动流程）；处理群内投诉和负面情绪，维护社群氛围；培养社群KOC，激励用户自发裂变拉新；策划社群活动（秒杀/拼团/打卡/直播）提升转化率
225,新媒体运营总监,否,博士,1-3年,武汉,新一线城市,500-2000人,12600,搭建并管理新媒体运营团队（10-50人）；代表公司参与行业峰会，维护媒体关系和品牌声誉；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；推动新媒体与传统业务融合，探索商业变现路径；制定公司新媒体战略方向及中长期发展规划
226,用户运营,否,硕士,3-5年,厦门,二线城市,2000人以上,8500,策划用户激励活动（签到/积分/会员权益）；建立用户反馈闭环机制，推动产品优化；通过用户调研和数据分析洞察用户需求；设计用户增长策略，提升拉新转化率和留存率
227,短视频运营,否,本科,1-3年,重庆,新一线城市,500-2000人,5700,策划短视频内容选题，撰写分镜脚本；研究平台算法规则，提升视频推荐量和曝光；分析短视频数据（完播率、点赞、涨粉）优化内容；负责抖音、快手、视频号等短视频平台的账号运营
228,活动运营,否,硕士,1年以下,郑州,新一线城市,150-500人,7300,监控活动实时数据，动态调整策略以提升效果；制定活动方案（目标/预算/流程/风险预案）；研究行业优秀活动案例，建立活动创意库
229,用户运营,否,硕士,3-5年,合肥,二线城市,15-50人,6300,搭建用户分层体系（新用户/活跃用户/沉睡用户）；维护核心用户社群，培养KOC并引导UGC产出；通过用户调研和数据分析洞察用户需求；设计用户增长策略，提升拉新转化率和留存率
230,新媒体运营专员,否,大专,3-5年,广州,一线城市,2000人以上,7300,跟踪热点话题，快速产出相关内容提升曝光；回复用户评论和私信，维护品牌形象；撰写新媒体文案，策划选题并执行内容发布；负责微信公众号、微博等平台的日常内容更新与维护
231,内容运营,否,大专,3-5年,西安,新一线城市,2000人以上,5700,优化内容标题、封面、关键词，提升SEO/推荐效果；建立内容素材库和分类标签体系；挖掘用户内容偏好，产出针对性内容策略；策划并撰写高质量原创内容（图文/视频脚本/专题）
232,智能营销运营,是,博士,10年以上,厦门,二线城市,500-2000人,26900,结合大模型进行营销文案自动生成和多版本测试；利用AI进行营销人群定向和智能投放策略优化；搭建基于机器学习的用户生命周期价值(LTV)预测模型；通过自然语言处理(NLP)分析用户评论和舆情趋势
233,新媒体运营总监,否,本科,1-3年,西安,新一线城市,50-150人,3900,搭建并管理新媒体运营团队（10-50人）；推动新媒体与传统业务融合，探索商业变现路径；建立数据驱动的运营体系，对核心KPI负责；代表公司参与行业峰会，维护媒体关系和品牌声誉；制定公司新媒体战略方向及中长期发展规划
234,活动运营,否,大专,3-5年,南京,新一线城市,500-2000人,5400,监控活动实时数据，动态调整策略以提升效果；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；协调设计、产品、技术等资源推动活动上线
235,用户运营,否,大专,3-5年,苏州,新一线城市,50-150人,5400,维护核心用户社群，培养KOC并引导UGC产出；设计用户增长策略，提升拉新转化率和留存率；通过用户调研和数据分析洞察用户需求；建立用户反馈闭环机制，推动产品优化；搭建用户分层体系（新用户/活跃用户/沉睡用户）
236,AI短视频运营,是,本科,3-5年,赣州,三线城市,2000人以上,5400,运用AI分析短视频平台算法，优化发布时间和内容策略；分析AI生成的视频数据，迭代提示词和制作流程；使用AI工具进行批量视频剪辑、字幕生成和配音；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；通过AI数字人技术打造24小时直播/短视频产能
237,内容运营,否,大专,3-5年,西安,新一线城市,500-2000人,4200,策划并撰写高质量原创内容（图文/视频脚本/专题）；建立内容素材库和分类标签体系；分析内容数据（阅读量、完读率、转发率）持续迭代；挖掘用户内容偏好，产出针对性内容策略
238,用户运营,否,硕士,1年以下,北京,一线城市,2000人以上,9600,维护核心用户社群，培养KOC并引导UGC产出；建立用户反馈闭环机制，推动产品优化；通过用户调研和数据分析洞察用户需求
239,AI短视频运营,是,硕士,1-3年,襄阳,三线城市,2000人以上,6000,使用AI工具进行批量视频剪辑、字幕生成和配音；运用AI分析短视频平台算法，优化发布时间和内容策略；分析AI生成的视频数据，迭代提示词和制作流程；通过AI数字人技术打造24小时直播/短视频产能；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）
240,智能营销运营,是,硕士,10年以上,福州,二线城市,500-2000人,16300,结合大模型进行营销文案自动生成和多版本测试；搭建基于机器学习的用户生命周期价值(LTV)预测模型；通过自然语言处理(NLP)分析用户评论和舆情趋势；运用AI进行A/B测试分析和营销素材智能优化
241,AI内容策划,是,本科,3-5年,遵义,三线城市,150-500人,3800,对比不同AI模型的内容产出效果，持续优化选题和prompt；建立AI内容质量评估标准，把控机器生成内容质量；结合AI数据分析用户内容偏好，制定内容策略方向；探索RAG（检索增强生成）技术在内容生产中的应用
242,内容运营,否,大专,5-10年,上海,一线城市,2000人以上,10100,优化内容标题、封面、关键词，提升SEO/推荐效果；建立内容素材库和分类标签体系；分析内容数据（阅读量、完读率、转发率）持续迭代；挖掘用户内容偏好，产出针对性内容策略
243,活动运营,否,硕士,1-3年,苏州,新一线城市,500-2000人,10000,监控活动实时数据，动态调整策略以提升效果；活动结束后输出复盘报告，沉淀方法论；协调设计、产品、技术等资源推动活动上线
244,新媒体运营总监,否,本科,1-3年,西安,新一线城市,150-500人,4200,统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；代表公司参与行业峰会，维护媒体关系和品牌声誉；建立数据驱动的运营体系，对核心KPI负责；推动新媒体与传统业务融合，探索商业变现路径
245,新媒体运营专员,否,硕士,5-10年,南京,新一线城市,2000人以上,13700,监测运营数据（阅读量、粉丝增长、互动率），输出周报；跟踪热点话题，快速产出相关内容提升曝光；回复用户评论和私信，维护品牌形象
246,新媒体运营经理,否,本科,5-10年,武汉,新一线城市,50-150人,8800,研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标；统筹跨部门协作，推动品牌传播项目落地；制定新媒体矩阵整体运营策略和年度内容规划
247,用户运营,否,硕士,5-10年,重庆,新一线城市,2000人以上,12000,建立用户反馈闭环机制，推动产品优化；设计用户增长策略，提升拉新转化率和留存率；策划用户激励活动（签到/积分/会员权益）；通过用户调研和数据分析洞察用户需求；维护核心用户社群，培养KOC并引导UGC产出
248,用户运营,否,大专,1-3年,上海,一线城市,500-2000人,5200,维护核心用户社群，培养KOC并引导UGC产出；建立用户反馈闭环机制，推动产品优化；策划用户激励活动（签到/积分/会员权益）；设计用户增长策略，提升拉新转化率和留存率
249,社群运营,否,大专,5-10年,成都,新一线城市,2000人以上,6100,制定社群SOP（群规/入群欢迎语/日常互动流程）；分析社群数据（入群率、活跃度、转化率、流失率）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；搭建并管理微信社群/企业微信群（拉新→活跃→转化）
250,社群运营,否,硕士,3-5年,成都,新一线城市,2000人以上,12800,策划社群活动（秒杀/拼团/打卡/直播）提升转化率；分析社群数据（入群率、活跃度、转化率、流失率）；培养社群KOC，激励用户自发裂变拉新；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；处理群内投诉和负面情绪，维护社群氛围
251,社群运营,否,大专,3-5年,西安,新一线城市,2000人以上,5300,制定社群SOP（群规/入群欢迎语/日常互动流程）；处理群内投诉和负面情绪，维护社群氛围；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；培养社群KOC，激励用户自发裂变拉新
252,新媒体运营总监,否,本科,1-3年,广州,一线城市,2000人以上,9200,建立数据驱动的运营体系，对核心KPI负责；代表公司参与行业峰会，维护媒体关系和品牌声誉；推动新媒体与传统业务融合，探索商业变现路径；搭建并管理新媒体运营团队（10-50人）
253,品牌运营,否,本科,1-3年,广州,一线城市,500-2000人,8100,分析品牌健康度指标（认知度/好感度/搜索指数）；制定品牌在新媒体渠道的传播策略和调性定位；协调外部媒体和KOL资源，扩大品牌声量
254,品牌运营,否,硕士,1-3年,上海,一线城市,15-50人,9900,制定品牌在新媒体渠道的传播策略和调性定位；策划品牌营销事件（联名/跨界/节日营销）；分析品牌健康度指标（认知度/好感度/搜索指数）；监测品牌舆情和口碑，及时进行声誉管理
255,活动运营,否,本科,1年以下,深圳,一线城市,50-150人,7100,活动结束后输出复盘报告，沉淀方法论；研究行业优秀活动案例，建立活动创意库；制定活动方案（目标/预算/流程/风险预案）；监控活动实时数据，动态调整策略以提升效果
256,智能投放运营,是,本科,3-5年,襄阳,三线城市,500-2000人,5100,探索AI在跨平台投放归因分析和预算最优分配中的应用；利用AI进行投放素材的智能生成和动态创意优化(DCO)；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；通过AI分析投放数据，自动调整人群定向和投放时段；搭建基于机器学习的智能出价和预算分配模型
257,智能投放运营,是,本科,1-3年,厦门,二线城市,150-500人,5700,通过AI分析投放数据，自动调整人群定向和投放时段；探索AI在跨平台投放归因分析和预算最优分配中的应用；搭建基于机器学习的智能出价和预算分配模型
258,活动运营,否,本科,1-3年,重庆,新一线城市,2000人以上,4800,活动结束后输出复盘报告，沉淀方法论；协调设计、产品、技术等资源推动活动上线；制定活动方案（目标/预算/流程/风险预案）
259,智能营销运营,是,本科,5-10年,宜宾,三线城市,500-2000人,4500,结合大模型进行营销文案自动生成和多版本测试；运用AI进行A/B测试分析和营销素材智能优化；搭建基于机器学习的用户生命周期价值(LTV)预测模型；利用AI进行营销人群定向和智能投放策略优化；设计AI驱动的个性化推荐和营销自动化流程
260,活动运营,否,大专,1-3年,南京,新一线城市,500-2000人,3900,监控活动实时数据，动态调整策略以提升效果；活动结束后输出复盘报告，沉淀方法论；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；制定活动方案（目标/预算/流程/风险预案）；研究行业优秀活动案例，建立活动创意库
261,用户运营,否,大专,3-5年,遵义,三线城市,15-50人,2300,建立用户反馈闭环机制，推动产品优化；策划用户激励活动（签到/积分/会员权益）；设计用户增长策略，提升拉新转化率和留存率
262,智能营销运营,是,本科,1年以下,北京,一线城市,15-50人,10700,运用AI进行A/B测试分析和营销素材智能优化；结合大模型进行营销文案自动生成和多版本测试；通过自然语言处理(NLP)分析用户评论和舆情趋势
263,直播运营,否,本科,1年以下,杭州,一线城市,50-150人,4700,维护粉丝群，提升复购率和用户粘性；管理直播投流（千川/聚星），优化ROI；监控直播数据（在线人数/互动率/GMV）实时调整策略；策划直播主题和脚本，协调主播和商品资源；分析竞品直播间打法，迭代直播话术和节奏
264,AIGC内容运营,是,硕士,5-10年,贵阳,二线城市,150-500人,9800,全面负责AIGC工具选型（文生图/文生视频/文生音乐）；制定AIGC内容生产SOP和质量审核流程；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性
265,直播运营,否,本科,3-5年,遵义,三线城市,50-150人,2600,分析竞品直播间打法，迭代直播话术和节奏；维护粉丝群，提升复购率和用户粘性；策划直播主题和脚本，协调主播和商品资源
266,用户运营,否,本科,1-3年,深圳,一线城市,500-2000人,6500,设计用户增长策略，提升拉新转化率和留存率；建立用户反馈闭环机制，推动产品优化；通过用户调研和数据分析洞察用户需求
267,AIGC内容运营,是,硕士,1-3年,武汉,新一线城市,2000人以上,11000,探索AI在内容创意、视觉设计、音视频制作中的落地应用；制定AIGC内容生产SOP和质量审核流程；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；建立AIGC素材版权管理机制，确保合规使用
268,AIGC内容运营,是,大专,1-3年,武汉,新一线城市,150-500人,6900,制定AIGC内容生产SOP和质量审核流程；训练和调优Stable Diffusion/Midjourney等模型的提示词库；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；建立AIGC素材版权管理机制，确保合规使用；探索AI在内容创意、视觉设计、音视频制作中的落地应用
269,AIGC内容运营,是,本科,1-3年,杭州,一线城市,15-50人,8300,训练和调优Stable Diffusion/Midjourney等模型的提示词库；制定AIGC内容生产SOP和质量审核流程；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；探索AI在内容创意、视觉设计、音视频制作中的落地应用
270,AI短视频运营,是,硕士,3-5年,重庆,新一线城市,500-2000人,17700,利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；使用AI工具进行批量视频剪辑、字幕生成和配音；运用AI分析短视频平台算法，优化发布时间和内容策略
271,活动运营,否,本科,3-5年,武汉,新一线城市,500-2000人,7500,研究行业优秀活动案例，建立活动创意库；监控活动实时数据，动态调整策略以提升效果；活动结束后输出复盘报告，沉淀方法论
272,AI内容策划,是,硕士,3-5年,赣州,三线城市,50-150人,5400,运用大语言模型辅助选题生成、内容大纲和初稿撰写；结合AI数据分析用户内容偏好，制定内容策略方向；建立AI内容质量评估标准，把控机器生成内容质量；探索RAG（检索增强生成）技术在内容生产中的应用；对比不同AI模型的内容产出效果，持续优化选题和prompt
273,活动运营,否,本科,1-3年,广州,一线城市,2000人以上,6700,监控活动实时数据，动态调整策略以提升效果；活动结束后输出复盘报告，沉淀方法论；研究行业优秀活动案例，建立活动创意库；协调设计、产品、技术等资源推动活动上线；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
274,AI数据分析运营,是,本科,5-10年,武汉,新一线城市,2000人以上,14800,通过机器学习预测粉丝增长趋势和内容爆款概率；利用AI进行竞品数据采集和分析，输出竞争情报；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；为运营团队提供AI数据洞察，驱动精细化运营决策
275,AI内容策划,是,大专,1-3年,遵义,三线城市,2000人以上,2400,建立AI内容质量评估标准，把控机器生成内容质量；运用大语言模型辅助选题生成、内容大纲和初稿撰写；探索RAG（检索增强生成）技术在内容生产中的应用；利用AIGC工具批量生产图文、视频等多模态内容
276,内容运营,否,硕士,10年以上,武汉,新一线城市,50-150人,13600,策划并撰写高质量原创内容（图文/视频脚本/专题）；挖掘用户内容偏好，产出针对性内容策略；管理内容日历，确保各渠道内容按时发布；优化内容标题、封面、关键词，提升SEO/推荐效果
277,社群运营,否,大专,1年以下,西安,新一线城市,50-150人,3000,搭建并管理微信社群/企业微信群（拉新→活跃→转化）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；分析社群数据（入群率、活跃度、转化率、流失率）；制定社群SOP（群规/入群欢迎语/日常互动流程）
278,AI短视频运营,是,本科,3-5年,合肥,二线城市,50-150人,8700,分析AI生成的视频数据，迭代提示词和制作流程；运用AI分析短视频平台算法，优化发布时间和内容策略；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）
279,大模型提示词运营,是,大专,1-3年,长沙,新一线城市,2000人以上,5900,编写Prompt工程规范文档，培训团队成员使用AI工具；探索CoT/ToT等提示工程技术提升复杂任务效果；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
280,AI新媒体运营,是,硕士,5-10年,福州,二线城市,50-150人,10600,搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；训练和调优AI模型以适应垂直领域的运营需求；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；利用AI分析用户画像和行为数据，制定精准运营策略
281,智能投放运营,是,本科,1年以下,广州,一线城市,50-150人,9300,探索AI在跨平台投放归因分析和预算最优分配中的应用；搭建基于机器学习的智能出价和预算分配模型；通过AI分析投放数据，自动调整人群定向和投放时段
282,AI内容策划,是,博士,10年以上,昆明,二线城市,2000人以上,21300,对比不同AI模型的内容产出效果，持续优化选题和prompt；建立AI内容质量评估标准，把控机器生成内容质量；运用大语言模型辅助选题生成、内容大纲和初稿撰写；结合AI数据分析用户内容偏好，制定内容策略方向
283,直播运营,否,博士,3-5年,长沙,新一线城市,150-500人,12800,管理直播投流（千川/聚星），优化ROI；监控直播数据（在线人数/互动率/GMV）实时调整策略；负责直播间的日常运营和排期管理
284,AI短视频运营,是,大专,3-5年,贵阳,二线城市,150-500人,5100,探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；使用AI工具进行批量视频剪辑、字幕生成和配音
285,短视频运营,否,本科,1-3年,郑州,新一线城市,500-2000人,6000,研究平台算法规则，提升视频推荐量和曝光；对接达人/KOL资源，策划合作推广内容；负责抖音、快手、视频号等短视频平台的账号运营；策划短视频内容选题，撰写分镜脚本；跟进拍摄和后期剪辑，把控成片质量
286,用户运营,否,本科,5-10年,北京,一线城市,2000人以上,12100,通过用户调研和数据分析洞察用户需求；建立用户反馈闭环机制，推动产品优化；策划用户激励活动（签到/积分/会员权益）；搭建用户分层体系（新用户/活跃用户/沉睡用户）；设计用户增长策略，提升拉新转化率和留存率
287,社群运营,否,本科,1-3年,杭州,一线城市,2000人以上,8700,分析社群数据（入群率、活跃度、转化率、流失率）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；搭建并管理微信社群/企业微信群（拉新→活跃→转化）；处理群内投诉和负面情绪，维护社群氛围
288,品牌运营,否,硕士,1-3年,成都,新一线城市,50-150人,9700,策划品牌营销事件（联名/跨界/节日营销）；监测品牌舆情和口碑，及时进行声誉管理；管理品牌官方账号矩阵，统一视觉和语言风格
289,直播运营,否,博士,10年以上,广州,一线城市,150-500人,21300,负责直播间的日常运营和排期管理；分析竞品直播间打法，迭代直播话术和节奏；管理直播投流（千川/聚星），优化ROI；策划直播主题和脚本，协调主播和商品资源
290,内容运营,否,博士,5-10年,成都,新一线城市,2000人以上,19100,管理内容日历，确保各渠道内容按时发布；策划并撰写高质量原创内容（图文/视频脚本/专题）；分析内容数据（阅读量、完读率、转发率）持续迭代；建立内容素材库和分类标签体系
291,用户运营,否,大专,1-3年,重庆,新一线城市,150-500人,4500,建立用户反馈闭环机制，推动产品优化；维护核心用户社群，培养KOC并引导UGC产出；策划用户激励活动（签到/积分/会员权益）；设计用户增长策略，提升拉新转化率和留存率；搭建用户分层体系（新用户/活跃用户/沉睡用户）
292,AI数据分析运营,是,硕士,1-3年,襄阳,三线城市,2000人以上,7600,为运营团队提供AI数据洞察，驱动精细化运营决策；开发AI驱动的自动化数据看板和预警系统；运用大模型进行非结构化运营数据（评论/反馈）的语义分析
293,直播运营,否,本科,1年以下,遵义,三线城市,150-500人,3000,策划直播主题和脚本，协调主播和商品资源；监控直播数据（在线人数/互动率/GMV）实时调整策略；负责直播间的日常运营和排期管理；管理直播投流（千川/聚星），优化ROI；维护粉丝群，提升复购率和用户粘性
294,AIGC内容运营,是,大专,3-5年,杭州,一线城市,15-50人,8200,训练和调优Stable Diffusion/Midjourney等模型的提示词库；探索AI在内容创意、视觉设计、音视频制作中的落地应用；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性
295,AI内容策划,是,大专,3-5年,重庆,新一线城市,500-2000人,6900,结合AI数据分析用户内容偏好，制定内容策略方向；对比不同AI模型的内容产出效果，持续优化选题和prompt；运用大语言模型辅助选题生成、内容大纲和初稿撰写；探索RAG（检索增强生成）技术在内容生产中的应用；建立AI内容质量评估标准，把控机器生成内容质量
296,用户运营,否,本科,1-3年,杭州,一线城市,50-150人,6900,设计用户增长策略，提升拉新转化率和留存率；搭建用户分层体系（新用户/活跃用户/沉睡用户）；策划用户激励活动（签到/积分/会员权益）；通过用户调研和数据分析洞察用户需求
297,活动运营,否,本科,1-3年,宜宾,三线城市,2000人以上,3400,研究行业优秀活动案例，建立活动创意库；协调设计、产品、技术等资源推动活动上线；监控活动实时数据，动态调整策略以提升效果；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；活动结束后输出复盘报告，沉淀方法论
298,AIGC内容运营,是,硕士,3-5年,成都,新一线城市,150-500人,15200,训练和调优Stable Diffusion/Midjourney等模型的提示词库；建立AIGC素材版权管理机制，确保合规使用；制定AIGC内容生产SOP和质量审核流程
299,内容运营,否,本科,1-3年,南昌,二线城市,15-50人,2900,优化内容标题、封面、关键词，提升SEO/推荐效果；分析内容数据（阅读量、完读率、转发率）持续迭代；管理内容日历，确保各渠道内容按时发布；策划并撰写高质量原创内容（图文/视频脚本/专题）
300,AI短视频运营,是,本科,5-10年,北京,一线城市,500-2000人,12200,利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；使用AI工具进行批量视频剪辑、字幕生成和配音；探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；运用AI分析短视频平台算法，优化发布时间和内容策略
301,AI数据分析运营,是,博士,5-10年,长沙,新一线城市,50-150人,20500,通过机器学习预测粉丝增长趋势和内容爆款概率；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；搭建基于AI的用户行为分析和预测模型；为运营团队提供AI数据洞察，驱动精细化运营决策
302,用户运营,否,本科,3-5年,上海,一线城市,500-2000人,9800,搭建用户分层体系（新用户/活跃用户/沉睡用户）；设计用户增长策略，提升拉新转化率和留存率；通过用户调研和数据分析洞察用户需求；策划用户激励活动（签到/积分/会员权益）
303,AI短视频运营,是,大专,1-3年,上海,一线城市,500-2000人,10500,探索AI+短视频的创意表达（AI特效/AI换装/AI剧情）；利用AI工具（剪映AI/Sora/可灵）自动生成短视频素材；通过AI数字人技术打造24小时直播/短视频产能
304,新媒体运营经理,否,本科,1年以下,武汉,新一线城市,150-500人,4600,研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标；统筹跨部门协作，推动品牌传播项目落地；管理运营预算，控制投入产出比(ROI)
305,大模型提示词运营,是,本科,1-3年,济南,二线城市,150-500人,7400,测试不同大模型（GPT/Claude/文心/通义）的内容产出质量；探索CoT/ToT等提示工程技术提升复杂任务效果；搭建和维护企业的提示词（Prompt）模板库；针对不同业务场景设计并优化大模型提示词策略；建立Prompt版本管理和A/B测试机制，持续迭代最优方案
306,新媒体运营总监,否,大专,3-5年,西安,新一线城市,150-500人,3800,推动新媒体与传统业务融合，探索商业变现路径；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；代表公司参与行业峰会，维护媒体关系和品牌声誉
307,活动运营,否,本科,1-3年,长沙,新一线城市,2000人以上,6800,监控活动实时数据，动态调整策略以提升效果；活动结束后输出复盘报告，沉淀方法论；制定活动方案（目标/预算/流程/风险预案）；研究行业优秀活动案例，建立活动创意库；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
308,新媒体运营总监,否,硕士,3-5年,襄阳,三线城市,500-2000人,5600,搭建并管理新媒体运营团队（10-50人）；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；推动新媒体与传统业务融合，探索商业变现路径
